date, pm25, pm10, no2, so2, co
2018/10/1, 107, , 16, 8, 5
2018/10/2, 132, , 21, 10, 6
2018/10/3, 136, , 22, 10, 7
2018/10/4, 166, , 20, 13, 10
2018/10/5, 165, , 18, 9, 5
2018/10/6, 113, , 17, 7, 22
2018/10/7, 144, , 20, 9, 19
2018/10/8, 167, , 20, 11, 19
2018/10/9, 138, , 20, 10, 7
2018/10/10, 146, , 29, 7, 6
2018/10/11, 114, , 17, 3, 6
2018/10/12, 123, , 24, 5, 8
2018/10/13, 166, , 23, 6, 6
2018/10/14, 128, , 26, 7, 8
2018/10/15, 155, , 33, 9, 11
2018/10/16, 157, , 26, 6, 11
2018/10/17, 135, , 30, 10, 12
2018/10/18, 162, , 29, 12, 11
2018/10/19, 150, , 27, 13, 7
2018/10/20, 162, , 26, 8, 7
2018/10/21, 136, , 30, 8, 7
2018/10/22, 131, , 37, 9, 9
2018/10/23, 133, , 36, 13, 12
2018/10/24, 164, , 22, 12, 11
2018/10/25, 149, , 24, 13, 14
2018/10/26, 172, , 31, 15, 16
2018/10/27, 183, , 22, 9, 3
2018/10/28, 174, , 26, 16, 7
2018/10/29, 173, , 46, 16, 13
2018/10/30, 224, , 39, 17, 10
2018/10/31, 237, , 31, 16, 9
2018/11/1, 230, , 30, 11, 9
2018/11/2, 212, , 22, 5, 7
2018/11/3, 184, , 10, 4, 6
2018/11/4, 127, , 18, 10, 9
2018/11/5, 316, , 20, 11, 6
2018/11/6, 205, , 22, 14, 11
2018/11/7, 200, , 33, 21, 9
2018/11/8, 415, , 31, 17, 17
2018/11/9, 293, , 42, 10, 21
2018/11/10, 271, , 33, 7, 17
2018/11/11, 243, , 29, 9, 17
2018/11/12, 245, , 40, 20, 20
2018/11/13, 267, , 29, 13, 12
2018/11/14, 193, , 20, 9, 7
2018/11/15, 158, , 19, 5, 8
2018/11/16, 167, , 25, 6, 9
2018/11/17, 176, , 35, 7, 9
2018/11/18, 209, , 27, 6, 2
2018/11/19, 206, , 34, 7, 14
2018/11/20, 228, , 39, 6, 8
2018/11/21, 209, , 33, 6, 11
2018/11/22, 187, , 33, 7, 14
2018/11/23, 199, , 23, 7, 8
2018/11/24, 166, , 32, 10, 10
2018/11/25, 178, , 31, 12, 16
2018/11/26, 188, , 58, 24, 29
2018/11/27, 230, , 45, 19, 15
2018/11/28, 234, , 30, 8, 
2018/11/29, 182, , 37, 9, 
2018/11/30, 215, , , , 
2018/7/1, 142, , 15, 2, 3
2018/7/2, 137, , 24, 4, 5
2018/7/3, 140, , 17, 3, 2
2018/7/4, 147, , 17, 4, 5
2018/7/5, 150, , 16, 5, 5
2018/7/6, 167, , 17, 4, 3
2018/7/7, 165, , 33, 3, 18
2018/7/8, 158, , 17, 5, 6
2018/7/9, 162, , 14, 9, 3
2018/7/10, 147, , 18, 11, 6
2018/7/11, 139, , 25, 14, 4
2018/7/12, 155, , 18, 10, 5
2018/7/13, 120, , 16, 8, 4
2018/7/14, 122, , 19, 4, 5
2018/7/15, 124, , 11, 4, 5
2018/7/16, 137, , 15, 4, 3
2018/7/17, 117, , 30, 4, 6
2018/7/18, 133, , 13, 4, 3
2018/7/19, 139, , 14, 5, 4
2018/7/20, 140, , 17, 6, 5
2018/7/21, 137, , 16, 6, 3
2018/7/22, 109, , 13, 6, 5
2018/7/23, 137, , 12, 5, 4
2018/7/24, 134, , 14, 5, 4
2018/7/25, 116, , 12, 6, 5
2018/7/26, 109, , 9, 6, 5
2018/7/27, 104, , 10, 5, 7
2018/7/28, 111, , 8, 7, 4
2018/7/29, 143, , 19, 5, 4
2018/7/30, 131, , 11, 5, 6
2018/7/31, 142, , 16, 6, 4
2018/8/1, 150, , 8, 7, 4
2018/8/2, 168, , 18, 6, 3
2018/8/3, 161, , 12, 6, 5
2018/8/4, 165, , 11, 6, 5
2018/8/5, 159, , 9, 6, 4
2018/8/6, 140, , 9, 5, 5
2018/8/7, 109, , 19, 6, 5
2018/8/8, 110, , 9, 4, 5
2018/8/9, 101, , 11, 5, 5
2018/8/10, 140, , 16, 4, 3
2018/8/11, 132, , 6, 3, 4
2018/8/12, 127, , 6, 5, 5
2018/8/13, 136, , 6, 5, 5
2018/8/14, 148, , , 2, 6
