date, pm25, pm10, o3, no2, so2, co
2018/10/1, 154, , 47, 35, 2, 
2018/10/2, 167, , 36, 30, 2, 
2018/10/3, 150, , 32, 31, 2, 
2018/10/4, 177, , 50, 46, 3, 
2018/10/5, 195, , 33, 44, 3, 
2018/10/6, 173, , 55, 38, 1, 
2018/10/7, 176, , 44, 34, 3, 
2018/10/8, 211, , 28, 20, 2, 
2018/10/9, 205, , 25, 14, 2, 
2018/10/10, 176, , 22, 14, 3, 
2018/10/11, 166, , 32, 23, 5, 
2018/10/12, 165, , 32, 38, 5, 
2018/10/13, 187, , 35, 28, 3, 
2018/10/14, 210, , 42, 38, 4, 
2018/10/15, 287, , 34, 36, 5, 
2018/10/16, 202, , 38, 36, 4, 
2018/10/17, 205, , 28, 43, 3, 
2018/10/18, 212, , 55, 40, 4, 
2018/10/19, 197, , 44, 40, 6, 
2018/10/20, 260, , 36, 51, 6, 
2018/10/21, 247, , 36, 40, 4, 
2018/10/22, 232, , 37, 49, 6, 
2018/10/23, 246, , 44, 51, 8, 
2018/10/24, 287, , 35, 48, 8, 
2018/10/25, 244, , 44, 53, 7, 
2018/10/26, 290, , 13, 74, 4, 
2018/10/27, 471, , 47, 42, 3, 
2018/10/28, 229, , 41, 49, 3, 
2018/10/29, 272, , 53, 54, 7, 
2018/10/30, 333, , 43, 46, 4, 
2018/10/31, 304, , 64, 64, 3, 
2018/11/1, 314, , 41, 32, 4, 
2018/11/2, 303, , 32, 21, 1, 
2018/11/3, 236, , 34, 19, 1, 
2018/11/4, 173, , 31, 24, 1, 
2018/11/5, 426, , 33, 19, 2, 
2018/11/6, 241, , 67, 23, 7, 
2018/11/7, 244, , 28, 41, 12, 
2018/11/8, 625, , 18, 42, 5, 
2018/11/9, 440, , 31, 55, 4, 
2018/11/10, 386, , 39, 58, 4, 
2018/11/11, 480, , 22, 63, 3, 
2018/11/12, 450, , 30, 45, 3, 
2018/11/13, 331, , 22, 28, 2, 
2018/11/14, 216, , 23, 24, 1, 
2018/11/15, 184, , 37, 21, 1, 
2018/11/16, 216, , 36, 25, 2, 
2018/11/17, 205, , 36, 28, 2, 
2018/11/18, 213, , 31, 17, 1, 
2018/11/19, 266, , 35, 19, 2, 
2018/11/20, 282, , 36, 21, 3, 
2018/11/21, 184, , 46, 39, 7, 
2018/11/22, 201, , 26, 38, 4, 14
2018/11/23, 241, , 27, 15, 2, 10
2018/11/24, 155, , 39, 18, 3, 12
2018/11/25, 173, , 36, 26, 5, 25
2018/11/26, 237, , 19, 36, 5, 31
2018/11/27, 313, , 24, 36, 3, 21
2018/11/28, 226, , 31, 18, 2, 16
2018/11/29, 207, , 33, 21, 3, 15
2018/11/30, 215, , 26, , 3, 13
2018/12/1, 201, , , , , 
2018/7/1, 104, , 34, 11, 1, 
2018/7/2, 146, , 19, 11, 2, 
2018/7/3, 136, , 25, 35, , 
2018/7/4, 203, , 35, 18, 1, 
2018/7/5, 188, , 38, 16, 1, 
2018/7/6, 149, , 37, 16, 1, 
2018/7/7, 202, , 60, 14, 1, 
2018/7/8, 166, , 35, 11, 1, 
2018/7/9, 199, , 28, 9, 1, 
2018/7/10, 171, , 10, 9, 1, 
2018/7/11, 124, , 18, 8, 1, 
2018/7/12, 234, , 7, 7, 1, 
2018/7/13, 128, , 6, 6, 1, 
2018/7/14, 142, , 7, 5, 1, 
2018/7/15, 123, , 13, 7, 1, 
2018/7/16, 112, , 22, 7, , 
2018/7/17, 99, , 23, 7, 1, 
2018/7/18, 102, , 16, 6, 1, 
2018/7/19, 110, , 34, 10, , 
2018/7/20, 128, , 29, 9, 1, 
2018/7/21, 122, , 28, 7, 1, 
2018/7/22, 122, , 51, 8, 1, 
2018/7/23, 98, , 20, 8, 1, 
2018/7/24, 108, , 3, 7, 1, 
